page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
3,11,BODY,( 2π |Λ|,10,27.04,21.35,8,202.34,285.58,223.69,312.62,FALSE,FALSE
3,12,BODY,),10,20.36,6.51,1,413.07,285.58,419.58,305.94,FALSE,FALSE
3,13,BODY,√ whereg(Σ)isthegenusofΣ.,10,39.29,142.42,25,154.64,287.78,297.06,327.06,FALSE,FALSE
3,14,BODY,22,7,3.99,66.38,2,346.19,294.54,412.57,298.52,FALSE,FALSE
3,15,BODY,"|Σ|≥(g(Σ)−1)+(g(Σ)−1)+4|Λ|Q(Σ),(1.4)",10,7.45,304.3,36,172.66,297.69,476.97,305.14,FALSE,FALSE
3,16,BODY,3,7,3.99,4.23,1,457.55,332.87,461.78,336.85,FALSE,FALSE
3,17,BODY,"Moreover,ifequalityholdsinanyoftheaboveinequalities,then(M,g) isisometrictotheRiemannianproduct([0,ℓ]×Σ,dt+g0)forsomeℓ>0, wheretheinducedmetricg0onΣhasconstantGaussiancurvatureκg= a+Λ,andE=aN. ItisinterestingtonotethatTheorem2imposesnorestrictiononthe genusofΣ.ThiscontrastswiththeunchargedcasewhenΛ<0,which onlyadmitssurfacesofgenusatleasttwo,andthusrepresentsanewphe- nomenon.Moreover,inthecaseg(Σ)=1,ourresultcanbecompared to[4,Theorem2],whichassertsthatifMisacomplete3-manifoldwith nonnegativescalarcurvatureandweaklymean-convexboundary,thenthe existenceofanytwo-sidedtorusΣ⊂Mthatminimizesareainitsisotopy classimpliesthatMisflat.Incontrast,ourresultallowsthepresenceofa 2-torusΣwithanexplicitlowerboundforitsarea:",9.99,167.67,358.66,718,118.31,336.83,476.97,504.5,FALSE,FALSE
3,18,BODY,2,7,3.99,4.23,1,368.72,345.82,372.95,349.81,FALSE,FALSE
3,19,BODY,2,7,3.99,4.23,1,124.08,372.05,128.31,376.04,FALSE,FALSE
3,20,BODY,4π|Q(Σ)| |Σ|≥√. |Λ|,10,27.41,77.02,19,259.13,514.88,336.15,542.29,FALSE,FALSE
3,21,BODY,"Forhighergenussurfaces(g(Σ)≥2),ourresultmayalsobecomparedto [31,Theorem5]. Thenextresultextendstheprevioustheoremstothenoncompactsetting. ThekeytoolintheproofisGromov’sconceptofaµ-bubble[18,20],which arisesasaminimizerofaweightedareafunctional.Moreprecisely,givena Riemannianmanifold(M,g)andafunctionh,aµ-bubbleisdefinedasa minimizeror,moregenerally,acriticalpoint)ofthefunctional",10,83.16,358.66,380,118.31,548.3,476.97,631.46,FALSE,FALSE
3,22,BODY,n,7,3.99,5.14,1,240.94,609.1,246.08,613.08,FALSE,FALSE
3,23,BODY,∫,10,20.36,6.06,1,329.09,634.26,335.15,654.62,FALSE,FALSE
3,24,BODY,n−1,7,5.44,15.96,3,276.54,644.61,292.5,650.05,FALSE,FALSE
3,25,BODY,"Ω7→H(∂Ω)−h,",10,7.45,110.53,11,242.37,649.11,352.9,656.56,FALSE,FALSE
3,26,BODY,Ω,7,3.99,6.12,1,335.15,659,341.27,662.99,FALSE,FALSE
3,27,BODY,n−1,7,5.44,15.96,3,160.94,669.67,176.9,675.11,FALSE,FALSE
3,28,BODY,"whereHistheinduced(n−1)-dimensionalHausdorffmeasure,and Ω⊂Mrangesoverasuitableclassofsubsets,suchasCaccioppolisets. Veryrecently,Gromov’sµ-bubbletechniquehasemergedasapowerful toolingeometricanalysis,withnumerousapplicationstoothergeometric problems;see,forinstance,[6,8,9,19,23,26,33,35,36,37,38].",10,57.26,358.66,298,118.31,673.63,476.97,730.89,FALSE,FALSE
4,0,BODY,4,7,3.99,4.23,1,118.31,103.14,122.54,107.12,FALSE,FALSE
4,1,BODY,T.CRUZANDA.MENDES,7,3.99,108.02,17,243.63,103.14,351.65,107.12,FALSE,FALSE
4,2,BODY,3,7,3.99,4.23,1,225.44,123.09,229.67,127.07,FALSE,FALSE
4,3,BODY,"Theorem3.Let(M,g,E)beacomplete,noncompact,orientableRie- mannian3-manifoldwithconnectedcompactboundary∂M,equippedwitha divergence-freevectorfieldErepresentingtheelectricfield.Assumethatthe scalarcurvaturesatisfies",10,44.31,358.66,213,118.31,127.05,476.97,171.36,FALSE,FALSE
4,4,BODY,2,7,3.99,4.23,1,330.86,178.88,335.09,182.87,FALSE,FALSE
4,5,BODY,"Rg≥2Λ+2|E|,",9.73,7.45,81.97,11,256.65,183.39,338.62,190.84,FALSE,FALSE
4,6,BODY,2,7,3.99,4.23,1,307.02,197.24,311.25,201.22,FALSE,FALSE
4,7,BODY,"whereΛisaconstantsuchthatΛ+|E|isuniformlypositive,andthatthe boundary∂Misweaklymean-convex.AssumefurtherthatH2(M,∂M)=0. Thenthefollowinginequalitieshold:",9.98,31.36,358.66,153,118.31,201.2,476.97,232.55,FALSE,FALSE
4,8,BODY,"(1)IfΛ∈R\{0},then",10,7.45,113.43,17,135.72,242.32,249.15,249.77,FALSE,FALSE
4,9,BODY,2,7,3.99,4.23,1,309.43,255.71,313.66,259.7,FALSE,FALSE
4,10,BODY,4ΛQ(∂M)≤1,10,7.45,73.04,9,261.12,260.21,334.16,267.66,FALSE,FALSE
4,11,BODY,"(thisistrivialwhenΛ<0),and √",10,33.11,153.73,28,154.64,277.7,308.37,310.81,FALSE,FALSE
4,12,BODY,( 2π Λ,10,25.05,19.77,6,252.2,288.26,271.97,313.3,FALSE,FALSE
4,13,BODY,),10,20.36,6.51,1,373.5,288.26,380.02,308.61,FALSE,FALSE
4,14,BODY,2,7,3.99,4.23,1,368.77,297.21,373,301.2,FALSE,FALSE
4,15,BODY,|∂M|≥1−1−4ΛQ(∂M).(1.5),10,7.45,264.74,22,212.23,300.37,476.97,307.82,FALSE,FALSE
4,16,BODY,"(2)IfΛ=0,then",10,5.45,85.55,13,135.72,321.56,221.27,327.01,FALSE,FALSE
4,17,BODY,2,7,3.99,4.23,1,336.82,334.95,341.05,338.94,FALSE,FALSE
4,18,BODY,|∂M|≥4πQ(∂M).,10,7.45,93.88,13,250.7,339.46,344.58,346.91,FALSE,FALSE
4,19,BODY,"(1.6) Moreover,ifequalityholdsineither(1.5)or(1.6),thenthereexistsan isometry",10,36.5,358.66,77,118.31,339.46,476.97,375.96,FALSE,FALSE
4,20,BODY,23,7,3.99,69.46,2,305.57,378.95,375.04,382.94,FALSE,FALSE
4,21,BODY,"Φ:([0,+∞)×∂M,dt+g0)→(M,g),",9.88,7.45,191.22,26,202.03,383.45,393.25,390.9,FALSE,FALSE
4,22,BODY,"suchthatΦ(0,∂M)=∂M,wheretheinducedmetricg0on∂Mhasconstant Gaussiancurvatureκg=a+Λ,andE=aN. ThefirstdifficultyinprovingTheorem3istoensurethatthesequenceof approximatingµ-bubblesconvergestoawell-definedlimitingsurface,rather thandivergingtoinfinity.Thisrequirescontrollingthebehavioroftheµ- bubblestoguaranteethattheydonotescapetoinfinityduringthelimiting process. Outlineofthepaper.InSection2,weintroduceafamilyofmodel solutionsthatdependsonthesignofthecosmologicalconstant.These modelsservebothasmotivatingexamplesandasconcreteillustrationsofthe generalresultsestablishedlaterinthepaper.InSection3,wederivesharp area-chargeestimatesundersuitablegeometricassumptionsandprovean auxiliarylocalrigidityresult,whichplaysanimportantroleinthearguments developedinthesubsequentsection.Finally,inSection4,wepresentthe proofsofTheorems1,2,and3. Acknowledgments:T.CruzwaspartiallysupportedbyCNPq,Brazil, undergrantnumbers307419/2022-3,408834/2023-4,444531/2024-6,and 403770/2024-6.A.MendeswaspartiallysupportedbyCNPq,Brazil,under grantnumber309867/2023-1.Theauthorsgratefullyacknowledgepartial supportfromCoordenaçãodeAperfeiçoamentodePessoaldeNı́velSuperior (CAPES/MATH-AMSUD88887.985521/2024-00),Brazil.",9.99,280.02,358.66,1197,118.31,398.67,476.97,678.7,FALSE,FALSE
4,23,BODY,2,7,3.99,4.23,1,245.98,407.67,250.21,411.65,FALSE,FALSE
5,0,BODY,AREA-CHARGEINEQUALITIESANDRIGIDITYOFINITIALDATASETS5,7,3.99,330.89,52,146.07,103.14,476.97,107.12,FALSE,FALSE
5,1,BODY,2.Themodels,10,5.45,77.98,11,258.65,127.05,336.63,132.5,FALSE,FALSE
5,2,BODY,"Weconsideratime-symmetricinitialdataset(IDS)fortheEinstein- Maxwellequations,denotedby(M,g,E,B),whereE,B∈X(M)represent theelectricandmagneticfields,respectively.Theconstraintequationsin thissettingaregivenby:",10,44.31,358.66,208,118.31,146.47,476.97,190.78,FALSE,FALSE
5,3,BODY,3,7,3.99,4.23,1,283.23,155.47,287.46,159.45,FALSE,FALSE
5,4,BODY,22,7,3.99,37.18,2,268.1,198.31,305.28,202.29,FALSE,FALSE
5,5,BODY,"Rg−2(|E|+|B|)−2Λ=16πµ, divgE=4πρ, divgB=0,",9.73,38.01,160.82,42,217.23,202.81,378.05,240.82,FALSE,FALSE
5,6,BODY,"whereµdenotestheenergydensityofnon-electromagneticmatter,andρis theelectricchargedensity.Whenρ≡0,wesaythat(M,g,E,B)hasno chargedmatter. Thedominantenergyconditionforthenon-electromagneticmatterfields canbeexpressedintermsoftheinitialdatasetas: Rg≥2(|E|+|B|)+2Λ.",9.97,76.74,358.66,261,118.31,252.69,476.97,329.43,FALSE,FALSE
5,7,BODY,3,7,3.99,4.23,1,394.88,261.68,399.12,265.67,FALSE,FALSE
5,8,BODY,22,7,3.99,37.18,2,288.02,317.47,325.2,321.46,FALSE,FALSE
5,9,BODY,"Thisterminologyisjustifiedbythewell-knownfactthattheCauchydevelop- mentofsuchanIDSyieldsaLorentzian4-manifoldsolvingtheEinstein- Maxwellequationswiththeprescribedenergyandchargedensities. Forthesakeofsimplicityandclarityofexposition,wewillsetB=0 throughoutthispaper.However,itisnotdifficulttoshowthattheresults remainvalid,withappropriateadaptations,inthepresentofmagneticfields. WenowpresentmodelsthatillustrateTheorems1,2,and3. CosmologicalconstantΛ>0.Thefirstexampleweconsidercomesfrom thedSBertotti-RobinsonsolutiontotheEinstein-Maxwellequations,given by",10,126.55,358.66,558,118.31,339.47,476.97,466.02,FALSE,FALSE
5,10,BODY," 122212 2 ds=(−sinhχdT+dχ)+dΩ,  F=−QsinhχdT∧dχ,",9.46,56.36,198.51,52,192.33,463.68,390.84,520.04,FALSE,FALSE
5,11,BODY,A B A,10,27.77,18.62,5,233.29,486.38,251.91,514.15,FALSE,FALSE
5,12,BODY,B,10,5.45,8.27,1,359.5,486.38,367.78,491.83,FALSE,FALSE
5,13,BODY,2,7,3.99,4.23,1,163.6,517.9,167.84,521.88,FALSE,FALSE
5,14,BODY,2,7,3.99,4.23,1,319.34,517.9,323.57,521.88,FALSE,FALSE
5,15,BODY,wheredΩdenotestheroundmetriconSofconstantGaussiancurvature one.TheparametersAandBarerelatedtothecosmologicalconstantΛ andelectricchargeQthroughtheidentities,10,31.36,358.66,156,118.31,521.86,476.97,553.21,FALSE,FALSE
5,16,BODY,"B−AA+B Λ=>0,Q=. 22B",10,20.32,154.27,19,220.5,562.86,374.77,583.18,FALSE,FALSE
5,17,BODY,2,7,3.99,4.23,1,319.74,565.74,323.97,569.73,FALSE,FALSE
5,18,BODY,2,7,3.99,4.23,1,360.15,574.58,364.38,578.56,FALSE,FALSE
5,19,BODY,"Above,FistheFaradaytensorassociatedwiththeBertotti-Robinson solution.ThecorrespondingelectricvectorfieldinducedonaT-sliceis givenby",10,31.36,358.66,131,118.31,590.83,476.97,622.19,FALSE,FALSE
5,20,BODY,√,10,7.45,9.09,1,280.47,620.73,289.56,628.18,FALSE,FALSE
5,21,BODY,"E=QBA∂χ=QBN,",9.75,5.62,115.69,12,239.8,630.49,355.48,636.12,FALSE,FALSE
5,22,BODY,√,10,7.45,9.09,1,182.82,637.82,191.91,645.27,FALSE,FALSE
5,23,BODY,"whereN=A∂χistheunitnormalintheχ-direction.Takinga= ⟨E,N⟩=QB,directcomputationsshowthatthetriple([χ0,χ1]×S,g,E), with",9.95,31.68,358.66,116,118.31,647.05,476.97,678.74,FALSE,FALSE
5,24,BODY,2,7,3.99,4.23,1,440.99,656.37,445.22,660.36,FALSE,FALSE
5,25,BODY,11 AB,10,20.32,49.42,5,272.07,681.31,321.48,701.63,FALSE,FALSE
5,26,BODY,22,7,3.99,47.07,2,293.95,684.18,341.02,688.17,FALSE,FALSE
5,27,BODY,"g=dχ+dΩ,",10,5.45,93.82,8,250.73,688.69,344.55,694.14,FALSE,FALSE
5,28,BODY,2,7,3.99,4.23,1,373.14,704.57,377.37,708.56,FALSE,FALSE
5,29,BODY,satisfiesalltheassumptionsofTheorem1with4ΛQ<1andequalityin (1.1).,10,18.41,358.66,65,118.31,708.53,476.97,726.94,FALSE,FALSE
6,0,BODY,6,7,3.99,4.23,1,118.31,103.14,122.54,107.12,FALSE,FALSE
6,1,BODY,T.CRUZANDA.MENDES,7,3.99,108.02,17,243.63,103.14,351.65,107.12,FALSE,FALSE
6,2,BODY,OursecondexamplearisesfromtheNariai-Bertotti-Robinsonsolution:,10,5.45,338.33,62,130.26,127.05,468.6,132.5,FALSE,FALSE
6,3,BODY," 22212 ds=−dT+dχ+dΩ,  F=−ΛdT∧dχ.",9.6,49.81,147.2,35,217.99,134.7,365.18,184.51,FALSE,FALSE
6,4,BODY,√2Λ,10,9.09,83.42,3,259.25,157.51,342.67,166.6,FALSE,FALSE
6,5,BODY,"√√ Inthiscase,theelectricvectorfieldisgivenbyE=Λ∂χ.Takinga=Λ, straightforwardcomputationsshowthat([χ0,χ1]×S,g,E),with",9.95,29.96,358.65,117,118.31,180.37,476.96,210.34,FALSE,FALSE
6,6,BODY,2,7,3.99,4.23,1,372.65,198.93,376.89,202.91,FALSE,FALSE
6,7,BODY,1 2Λ,10,20.32,13.03,4,305.82,218.17,318.85,238.49,FALSE,FALSE
6,8,BODY,22,7,3.99,51.28,2,286.56,221.05,337.83,225.03,FALSE,FALSE
6,9,BODY,"g=dχ+dΩ,",10,5.45,87.45,8,253.91,225.55,341.36,231.01,FALSE,FALSE
6,10,BODY,"satisfiesallthehypothesesofTheorem1withequalityin(1.1)and,inpar- ticular,in(1.1).Thechargeofeachslice{χ}×SisgivenbyQ=√. CosmologicalconstantΛ=0.TakingA=Binthepreviousexample, weobtaintheso-calledflatBertotti-Robinsonsolution,which,asbefore, givesrisetoaninitialdatasetsatisfyingallthehypothesesofTheorem1 withΛ=0andequalityin(1.2). CosmologicalconstantΛ<0.Ourfinalexampleisaclassofexactso- lutionsthatincludestheAdSBertotti-Robinsonandtheanti-Nariaispace- times.TheserepresentanaturalgeneralizationofthedSBertotti-Robinson solutiontothecasewherethecosmologicalconstantisnegative(Λ<0):",9.99,133.16,358.66,584,118.31,246.75,476.97,379.91,FALSE,FALSE
6,11,BODY,21 2Λ,7,13.68,104.5,5,354.7,255.61,459.2,269.29,FALSE,FALSE
6,12,BODY," 121 ds=(−sinhχdT+dχ)+dΩ,  F=−Q B A ADMsinhχdT∧dχ,",9.83,56.36,198.9,54,192.14,382.71,391.04,439.07,FALSE,FALSE
6,13,BODY,2222 k,7.3,22.19,195.16,7,192.14,393.97,387.29,416.16,FALSE,FALSE
6,14,BODY,B A,10,20.32,8.5,3,264.27,412.86,272.78,433.18,FALSE,FALSE
6,15,BODY,2 k,7,11.27,4.41,3,163.24,439.2,167.65,450.46,FALSE,FALSE
6,16,BODY,"wheredΩdenotesametricofconstantGaussiancurvaturek=1,0,or−1 onaclosedorientablesurfaceΣofgenusg(Σ)=0,1,or≥2dependingon whetherk=1,0,or−1,respectively. TheconstantsAandBarerelatedtothecosmologicalconstantΛand theADMchargeQADMthroughtheidentities",9.95,57.48,358.66,243,118.31,443.16,476.97,500.64,FALSE,FALSE
6,17,BODY,1 2,10,20.32,5.45,3,226.91,510.19,232.36,530.51,FALSE,FALSE
6,18,BODY,"A+Bk Λ=−(A−Bk)<0,Q=. 2B",10,20.32,205.07,23,195.11,510.19,400.17,530.51,FALSE,FALSE
6,19,BODY,2 ADM2,7,12.82,63.99,6,322.78,513.06,386.77,525.89,FALSE,FALSE
6,20,BODY,"Asinthepreviousexample,theassociatedelectricvectorfieldonaspace- likeT-sliceisgivenby",10,18.41,358.66,85,118.31,538.16,476.97,556.56,FALSE,FALSE
6,21,BODY,"E=QADMBN,",9,5.67,74.12,9,260.58,564.06,334.7,569.73,FALSE,FALSE
6,22,BODY,√,10,7.45,9.09,1,174.36,570.32,183.45,577.77,FALSE,FALSE
6,23,BODY,"whereN=A∂χ. Oncemore,lettinga=QADMB,adirectcomputationshowsthatthe triple([χ0,χ1]×Σ,g,E),where",9.78,33.35,358.66,94,118.31,579.55,476.97,612.91,FALSE,FALSE
6,24,BODY,11 AB,10,20.32,49.42,5,271.87,620.74,321.29,641.06,FALSE,FALSE
6,25,BODY,22 k,7,11.27,47.25,4,293.75,623.62,341,634.88,FALSE,FALSE
6,26,BODY,"g=dχ+dΩ,",10,5.45,94.2,8,250.54,628.12,344.74,633.58,FALSE,FALSE
6,27,BODY,"satisfiestherespectivehypothesesofTheorem2,achievingequalityin(1.3) fork=1,orin(1.4)fork=0,−1.Notethattheelectricchargeofeach slice{χ}×Σisgivenby",10,33.35,358.66,145,118.31,649.32,476.97,682.67,FALSE,FALSE
6,28,BODY,"ωk Q=QADM, 4π 2 k",8.24,34.53,71.03,17,261.78,683.64,332.81,718.17,FALSE,FALSE
6,29,BODY,"whereωkistheareaof(Σ,dΩ).",9.88,5.76,155.86,25,118.31,710.86,274.17,716.62,FALSE,FALSE
7,0,BODY,AREA-CHARGEINEQUALITIESANDRIGIDITYOFINITIALDATASETS7,7,3.99,330.89,52,146.07,103.14,476.97,107.12,FALSE,FALSE
7,1,BODY,"Finally,wepointoutthatalltheabovemetricscanbeextendedtocom- pletesmoothmetricson([χ0,+∞)×Σ,g,E),therebyprovidingmodelsfor Theorem3. TheseandotherspecialsolutionstotheEinstein-Maxwellequationscan befoundin[5].",9.99,57.26,358.66,208,118.31,127.05,476.97,184.31,FALSE,FALSE
7,2,BODY,3.Area-chargeestimatesandanauxiliarylocalrigidity,10,5.45,322.2,49,136.53,200.87,458.74,206.32,FALSE,FALSE
7,3,BODY,result,10,5.45,35.66,6,286.78,213.82,322.43,219.28,FALSE,FALSE
